"","species","reference_no","subfamily","Tribe","Genus","Fossil","min_ma","max_ma","Notes"
"637","curiosa","43781","Ponerinae",NA,"Cyrtopone","Yes",40.4,48.6,"Note"
"638","elongata","43781","Ponerinae",NA,"Cyrtopone","Yes",40.4,48.6,"Note"
"639","microcephala","43781","Ponerinae",NA,"Cyrtopone","Yes",40.4,48.6,"Note"
"640","striata","43781","Ponerinae",NA,"Cyrtopone","Yes",40.4,48.6,"Note"
"641","cingulatus","40725","Ponerinae",NA,"Eogorgites","Yes",48.6,55.8,"Note"
"642","longipetiolatus","40725","Ponerinae",NA,"Eoponerites","Yes",48.6,55.8,"Note"
"643","wanghuacunensis","40725","Ponerinae",NA,"Furcisutura","Yes",48.6,55.8,"Note"
"644","atavia","44414","Ponerinae",NA,"Hypoponera","Yes",33.9,38,"Note"
"645","scitula","49030","Ponerinae",NA,"Hypoponera","Yes",2.588,5.333,"Note"
"646","chinensis","16579","Ponerinae",NA,"Leptogenys","Yes",11.608,15.97,"Note"
"647","lacerata","16579","Ponerinae",NA,"Leptogenys","Yes",11.608,15.97,"Note"
"648","reticulata","40725","Ponerinae",NA,"Longicapitia","Yes",48.6,55.8,"Note"
"649","leptogenoides","43781","Ponerinae",NA,"Messelepone","Yes",40.4,48.6,"Note"
"650","paleomyagra","53443","Ponerinae",NA,"Odontomachus","Yes",16.9,20,"Note"
"651","pseudobauri","44411","Ponerinae",NA,"Odontomachus","Yes",13.82,20.44,"Note"
"652","spinifer","44411","Ponerinae",NA,"Odontomachus","Yes",13.82,20.44,"Note"
"653",NA,"57466","Ponerinae",NA,"Pachycondyla","Yes",15.97,23.03,"Note"
"654","aberrans","56094","Ponerinae",NA,"Pachycondyla","Yes",33.9,38,"Note"
"655","baltica","44585","Ponerinae",NA,"Pachycondyla","Yes",33.9,38,"Note"
"656","calcarea","38999","Ponerinae",NA,"Pachycondyla","Yes",28.4,33.9,"Note"
"657","conservata","44602","Ponerinae",NA,"Pachycondyla","Yes",33.9,38,"Note"
"658","dubia","38999","Ponerinae",NA,"Pachycondyla","Yes",28.4,33.9,"Note"
"659","eocenica","43781","Ponerinae",NA,"Pachycondyla","Yes",40.4,48.6,"Note"
"660","globiventris","38999","Ponerinae",NA,"Pachycondyla","Yes",28.4,33.9,"Note"
"661","gracilicornis","44414","Ponerinae",NA,"Pachycondyla","Yes",33.9,38,"Note"
"662","labandeirai","44418","Ponerinae",NA,"Pachycondyla","Yes",46.2,50.3,"Note"
"663","lutzi","43781","Ponerinae",NA,"Pachycondyla","Yes",40.4,48.6,"Note"
"664","messeliana","43781","Ponerinae",NA,"Pachycondyla","Yes",40.4,48.6,"Note"
"665","minutansata","16579","Ponerinae",NA,"Pachycondyla","Yes",11.608,15.97,"Note"
"666","nubeculata","16579","Ponerinae",NA,"Pachycondyla","Yes",11.608,15.97,"Note"
"667","oligocenica","56094","Ponerinae",NA,"Pachycondyla","Yes",33.9,38,"Note"
"668","parvula","43781","Ponerinae",NA,"Pachycondyla","Yes",40.4,48.6,"Note"
"669","petiolosa","43781","Ponerinae",NA,"Pachycondyla","Yes",40.4,48.6,"Note"
"670","petrosa","43781","Ponerinae",NA,"Pachycondyla","Yes",40.4,48.6,"Note"
"671","succinea","44414","Ponerinae",NA,"Pachycondyla","Yes",33.9,38,"Note"
"672","tristis","44602","Ponerinae",NA,"Pachycondyla","Yes",33.9,38,"Note"
"673","dentata","40294","Ponerinae",NA,"Platythyrea","Yes",13.82,20.44,"Note"
"674","dlusskyi","36397","Ponerinae",NA,"Platythyrea","Yes",48.6,55.8,"Note"
"675","primaeva","38999","Ponerinae",NA,"Platythyrea","Yes",28.4,33.9,"Note"
"676","procera","40294","Ponerinae",NA,"Platythyrea","Yes",13.82,20.44,"Note"
"677","pumilio","44623","Ponerinae",NA,"Platythyrea","Yes",13.82,20.44,"Note"
"678","scalprum","40294","Ponerinae",NA,"Platythyrea","Yes",13.82,20.44,"Note"
"679","elegantissima","54829","Ponerinae",NA,"Ponera","Yes",23.03,28.4,"Note"
"680","leptocephala","44518","Ponerinae",NA,"Ponera","Yes",5.333,11.608,"Note"
"681","lobulifera","44602","Ponerinae",NA,"Ponera","Yes",33.9,38,"Note"
"682","mayri","44602","Ponerinae",NA,"Ponera","Yes",33.9,38,"Note"
"683","wheeleri","44602","Ponerinae",NA,"Ponera","Yes",33.9,38,"Note"
"684",NA,"36397","Ponerinae",NA,"None","Yes",47.8,56,"Note"
"685",NA,"51861","Ponerinae",NA,"Ponerites","Yes",33.9,38,"Note"
"686","antropovi","51861","Ponerinae",NA,"Ponerites","Yes",33.9,38,"Note"
"687","atavinus","37344","Ponerinae",NA,"Ponerites","Yes",11.608,12.7,"Note"
"688","coloradensis","44418","Ponerinae",NA,"Ponerites","Yes",46.2,50.3,"Note"
"689","crawleyi","5061","Ponerinae",NA,"Ponerites","Yes",33.9,38,"Note"
"690","elongatus","38709","Ponerinae",NA,"Ponerites","Yes",11.608,12.7,"Note"
"691","eocenicus","44418","Ponerinae",NA,"Ponerites","Yes",46.2,50.3,"Note"
"692","gracilior","38709","Ponerinae",NA,"Ponerites","Yes",11.608,12.7,"Note"
"693","hooleyi","51861","Ponerinae",NA,"Ponerites","Yes",33.9,38,"Note"
"694","hypoponeroides","44418","Ponerinae",NA,"Ponerites","Yes",46.2,50.3,"Note"
"695","kishenehne","55770","Ponerinae",NA,"Ponerites","Yes",41.3,47.8,"Note"
"696","nitidus","37344","Ponerinae",NA,"Ponerites","Yes",11.608,12.7,"Note"
"697","oblongiceps","51760","Ponerinae",NA,"Ponerites","Yes",11.608,12.7,"Note"
"698","tenuis","38709","Ponerinae",NA,"Ponerites","Yes",11.608,12.7,"Note"
"699","umbrus","44457","Ponerinae",NA,"Ponerites","Yes",11.608,15.97,"Note"
"700","crassinervis","37344","Ponerinae",NA,"Poneropsis","Yes",12.7,13.65,"Note"
"701","escheri","38709","Ponerinae",NA,"Poneropsis","Yes",11.608,12.7,"Note"
"702","fuliginosa","37344","Ponerinae",NA,"Poneropsis","Yes",11.608,12.7,"Note"
"703","globosa","37344","Ponerinae",NA,"Poneropsis","Yes",11.608,12.7,"Note"
"704","longaeva","37344","Ponerinae",NA,"Poneropsis","Yes",11.608,12.7,"Note"
"705","rhenana","44626","Ponerinae",NA,"Poneropsis","Yes",23.03,28.4,"Note"
"706","stygia","38709","Ponerinae",NA,"Poneropsis","Yes",11.608,12.7,"Note"
"707","veneraria","47508","Ponerinae",NA,"Poneropsis","Yes",11.608,12.7,"Note"
"708","ventrosa","37344","Ponerinae",NA,"Poneropsis","Yes",11.608,12.7,"Note"
"709","dubia","43781","Ponerinae",NA,"Protopone","Yes",40.4,48.6,"Note"
"710","germanica","43781","Ponerinae",NA,"Protopone","Yes",40.4,48.6,"Note"
"711","magna","43781","Ponerinae",NA,"Protopone","Yes",40.4,48.6,"Note"
"712","oculata","43781","Ponerinae",NA,"Protopone","Yes",40.4,48.6,"Note"
"713","primigena","44404","Ponerinae",NA,"Protopone","Yes",41.3,47.8,"Note"
"714","sepulta","43781","Ponerinae",NA,"Protopone","Yes",40.4,48.6,"Note"
"715","vetula","43781","Ponerinae",NA,"Protopone","Yes",40.4,48.6,"Note"
"716","aberrans","51861","Ponerinae",NA,"Taphopone","Yes",33.9,38,"Note"
"717","karaganensis","41286","Ponerinae",NA,"Taphopone","Yes",11.608,15.97,"Note"
"718","macroptera","51861","Ponerinae",NA,"Taphopone","Yes",33.9,38,"Note"
"719","microptera","51861","Ponerinae",NA,"Taphopone","Yes",33.9,38,"Note"
"720","petrosa","51861","Ponerinae",NA,"Taphopone","Yes",33.9,38,"Note"
"721","stauropolitanus","41286","Ponerinae",NA,"Taphopone","Yes",11.608,15.97,"Note"
"722",NA,"44437","Proceratiinae",NA,"Bradoponera","Yes",33.9,38,"Note"
"723","electrina","44437","Proceratiinae",NA,"Bradoponera","Yes",33.9,38,"Note"
"724","meieri","44414","Proceratiinae",NA,"Bradoponera","Yes",33.9,38,"Note"
"725","similis","44602","Proceratiinae",NA,"Bradoponera","Yes",33.9,38,"Note"
"726","wunderlichi","44437","Proceratiinae",NA,"Bradoponera","Yes",33.9,38,"Note"
"727","gigas","44527","Proceratiinae",NA,"Discothyrea","Yes",13.82,20.44,"Note"
"728","maya","44527","Proceratiinae",NA,"Discothyrea","Yes",15.97,23.03,"Note"
"729","denticulatum","44629","Proceratiinae",NA,"Proceratium","Yes",13.82,20.44,"Note"
"730","dominicanum","40049","Proceratiinae",NA,"Proceratium","Yes",13.82,20.44,"Note"
"731","eocenicum","44602","Proceratiinae",NA,"Proceratium","Yes",33.9,38,"Note"
"732","gibberum","40049","Proceratiinae",NA,"Proceratium","Yes",13.82,20.44,"Note"
"733","petrosum","56094","Proceratiinae",NA,"Proceratium","Yes",33.9,38,"Note"
"734","poinari","40049","Proceratiinae",NA,"Proceratium","Yes",13.82,20.44,"Note"
"735","antiquus","44631","Pseudomyrmecinae",NA,"Pseudomyrmex","Yes",13.82,20.44,"Note"
"736","avitus","44631","Pseudomyrmecinae",NA,"Pseudomyrmex","Yes",13.82,20.44,"Note"
"737","baros","44631","Pseudomyrmecinae",NA,"Pseudomyrmex","Yes",13.82,20.44,"Note"
"738","coruscus","44631","Pseudomyrmecinae",NA,"Pseudomyrmex","Yes",13.82,20.44,"Note"
"739","extinctus","4971","Pseudomyrmecinae",NA,"Pseudomyrmex","Yes",33.9,37.2,"Note"
"740","macrops","44631","Pseudomyrmecinae",NA,"Pseudomyrmex","Yes",13.82,20.44,"Note"
"741","nexilis","44631","Pseudomyrmecinae",NA,"Pseudomyrmex","Yes",13.82,20.44,"Note"
"742","oryctus","44631","Pseudomyrmecinae",NA,"Pseudomyrmex","Yes",13.82,20.44,"Note"
"743","prioris","44631","Pseudomyrmecinae",NA,"Pseudomyrmex","Yes",13.82,20.44,"Note"
"744","saxulum","55770","Pseudomyrmecinae",NA,"Pseudomyrmex","Yes",41.3,47.8,"Note"
"745","simplex","44631","Pseudomyrmecinae",NA,"Pseudomyrmex","Yes",0,0.0117,"Note"
"746","succinus","44631","Pseudomyrmecinae",NA,"Pseudomyrmex","Yes",13.82,20.44,"Note"
"747","thecolor","44631","Pseudomyrmecinae",NA,"Pseudomyrmex","Yes",13.82,20.44,"Note"
"748","vicinus","44631","Pseudomyrmecinae",NA,"Pseudomyrmex","Yes",13.82,20.44,"Note"
"749","europaea","44602","Pseudomyrmecinae",NA,"Tetraponera","Yes",33.9,38,"Note"
"750","groehni","44602","Pseudomyrmecinae",NA,"Tetraponera","Yes",33.9,38,"Note"
"751","klebsi","38999","Pseudomyrmecinae",NA,"Tetraponera","Yes",28.4,33.9,"Note"
"752","lacrimarum","40999","Pseudomyrmecinae",NA,"Tetraponera","Yes",33.9,38,"Note"
"753","ocellata","44414","Pseudomyrmecinae",NA,"Tetraponera","Yes",33.9,38,"Note"
"754","oligocenica","38999","Pseudomyrmecinae",NA,"Tetraponera","Yes",33.9,37.2,"Note"
"755","simplex","44414","Pseudomyrmecinae",NA,"Tetraponera","Yes",33.9,38,"Note"
"756",NA,"58266","Sphecomyrminae",NA,"Gerontoformica","Yes",93.5,99.6,"Note"
"757","contegus","50661","Sphecomyrminae",NA,"Gerontoformica","Yes",93.5,99.6,"Note"
"758","cretacica","35083","Sphecomyrminae",NA,"Gerontoformica","Yes",99.6,105.3,"Note"
"759","gracilis","50661","Sphecomyrminae",NA,"Gerontoformica","Yes",93.5,99.6,"Note"
"760","magnus","50661","Sphecomyrminae",NA,"Gerontoformica","Yes",93.5,99.6,"Note"
"761","maraudera","58266","Sphecomyrminae",NA,"Gerontoformica","Yes",93.5,99.6,"Note"
"762","occidentalis","44281","Sphecomyrminae",NA,"Gerontoformica","Yes",93.5,99.6,"Note"
"763","orientalis","36535","Sphecomyrminae",NA,"Gerontoformica","Yes",93.5,99.6,"Note"
"764","pilosus","50661","Sphecomyrminae",NA,"Gerontoformica","Yes",93.5,99.6,"Note"
"765","robustus","50661","Sphecomyrminae",NA,"Gerontoformica","Yes",93.5,99.6,"Note"
"766","rugosus","50661","Sphecomyrminae",NA,"Gerontoformica","Yes",93.5,99.6,"Note"
"767","spiralis","50661","Sphecomyrminae",NA,"Gerontoformica","Yes",93.5,99.6,"Note"
"768","subcuspis","50661","Sphecomyrminae",NA,"Gerontoformica","Yes",93.5,99.6,"Note"
"769","tendir","50661","Sphecomyrminae",NA,"Gerontoformica","Yes",93.5,99.6,"Note"
"770","cerberus","39313","Sphecomyrminae",NA,"Haidomyrmex","Yes",93.5,99.6,"Note"
"771","scimitarus","44280","Sphecomyrminae",NA,"Haidomyrmex","Yes",93.5,99.6,"Note"
"772","zigrasi","44280","Sphecomyrminae",NA,"Haidomyrmex","Yes",93.5,99.6,"Note"
"773","mammuthus","44281","Sphecomyrminae",NA,"Haidomyrmodes","Yes",99.6,105.3,"Note"
"774","cippus","47973","Sphecomyrminae",NA,"Haidoterminus","Yes",70.6,83.5,"Note"
"775",NA,"36535","Sphecomyrminae",NA,"Sphecomyrminae","Yes",89.8,93.9,"Note"
"776","canadensis","38990","Sphecomyrminae",NA,"Sphecomyrminae","Yes",70.6,83.5,"Note"
"777","freyi","36535","Sphecomyrminae",NA,"Sphecomyrminae","Yes",89.8,93.9,"Note"
"778","mesaki","36535","Sphecomyrminae",NA,"Sphecomyrminae","Yes",89.8,93.9,"Note"
"779","ferox","50003","Sphecomyrminae",NA,"Zigrasimecia","Yes",93.5,99.6,"Note"
"780","tonsora","47310","Sphecomyrminae",NA,"Zigrasimecia","Yes",93.5,99.6,"Note"
"781",NA,"48703","Sphecomyrminae",NA,"Baikuris","Yes",72.1,83.6,"Note"
"782","casei","5815","Sphecomyrminae",NA,"Baikuris","Yes",89.8,93.9,"Note"
"783","mandibularis","39885","Sphecomyrminae",NA,"Baikuris","Yes",83.6,89.8,"Note"
"784","maximus","53728","Sphecomyrminae",NA,"Baikuris","Yes",99.6,105.3,"Note"
"785","mirabilis","39885","Sphecomyrminae",NA,"Baikuris","Yes",83.6,89.8,"Note"
"786","ellenbergeri","59331","Sphecomyrminae",NA,"Ceratomyrmex","Yes",93.5,99.6,"Stem Ant"
"787","arnoldii","37059","Sphecomyrminae",NA,"Cretomyrma","Yes",83.6,86.3,"Stem Ant"
"788","unicornis","37059","Sphecomyrminae",NA,"Cretomyrma","Yes",83.6,86.3,"Stem Ant"
"789","zherichini","37059","Sphecomyrminae",NA,"Dlusskyidris","Yes",83.6,86.3,"Note"
